id,indonesia,english,created_at
1,"Halo, apa kabar?","Hello, how are you?",2026-07-21 00:00:00
2,Selamat pagi semuanya.,Good morning everyone.,2026-07-21 00:00:00
3,Siapa nama Anda?,What is your name?,2026-07-21 00:00:00
4,Saya tinggal di Jakarta.,I live in Jakarta.,2026-07-21 00:00:00
5,Apakah Anda bisa membantu saya?,Can you help me?,2026-07-21 00:00:00
6,Terima kasih banyak atas bantuan Anda.,Thank you very much for your help.,2026-07-21 00:00:00
7,"Sama-sama, dengan senang hati.","You are welcome, with pleasure.",2026-07-21 00:00:00
8,Di mana stasiun kereta api terdekat?,Where is the nearest train station?,2026-07-21 00:00:00
9,Berapa harga tiket ini?,How much is this ticket?,2026-07-21 00:00:00
10,Saya ingin memesan secangkir kopi hangat.,I want to order a cup of warm coffee.,2026-07-21 00:00:00
11,Hari ini cuacanya sangat bagus.,Today the weather is very nice.,2026-07-21 00:00:00
12,Kemarin saya pergi ke perpustakaan.,Yesterday I went to the library.,2026-07-21 00:00:00
13,Besok kita akan mengadakan rapat besar.,Tomorrow we will hold a big meeting.,2026-07-21 00:00:00
14,Buku ini sangat menarik untuk dibaca.,This book is very interesting to read.,2026-07-21 00:00:00
15,Di mana letak toilet umum?,Where is the public toilet located?,2026-07-21 00:00:00
16,Saya suka makan nasi goreng pedas.,I like to eat spicy fried rice.,2026-07-21 00:00:00
17,Kami sedang belajar bahasa Inggris.,We are learning English.,2026-07-21 00:00:00
18,Apakah Anda memiliki rekomendasi hotel?,Do you have a hotel recommendation?,2026-07-21 00:00:00
19,Jam berapa sekarang di sana?,What time is it now there?,2026-07-21 00:00:00
20,Saya merasa kurang enak badan hari ini.,I feel a bit unwell today.,2026-07-21 00:00:00
21,Obat ini harus diminum tiga kali sehari.,This medicine must be taken three times a day.,2026-07-21 00:00:00
22,Hati-hati di jalan saat pulang.,Be careful on the road when going home.,2026-07-21 00:00:00
23,"Selamat ulang tahun, semoga panjang umur.","Happy birthday, I wish you a long life.",2026-07-21 00:00:00
24,Semoga sukses dengan ujian Anda.,Good luck with your exam.,2026-07-21 00:00:00
25,Di mana saya bisa menukar uang?,Where can I exchange money?,2026-07-21 00:00:00
26,Kamar ini sangat bersih dan nyaman.,This room is very clean and comfortable.,2026-07-21 00:00:00
27,Saya ingin membeli oleh-oleh khas daerah.,I want to buy local souvenirs.,2026-07-21 00:00:00
28,Pemandangan alam di sini sangat indah.,The natural scenery here is very beautiful.,2026-07-21 00:00:00
29,Bandara berada cukup jauh dari pusat kota.,The airport is quite far from the city center.,2026-07-21 00:00:00
30,"Saya tersesat, bolehkah saya bertanya?","I am lost, may I ask a question?",2026-07-21 00:00:00
31,Tolong pelankan suara Anda sedikit.,Please lower your voice a bit.,2026-07-21 00:00:00
32,Saya tidak mengerti apa maksud Anda.,I do not understand what you mean.,2026-07-21 00:00:00
33,Tolong tulis alamat ini di kertas.,Please write this address on paper.,2026-07-21 00:00:00
34,Apakah Anda menerima pembayaran kartu kredit?,Do you accept credit card payments?,2026-07-21 00:00:00
35,Saya sangat senang bertemu dengan Anda.,I am very happy to meet you.,2026-07-21 00:00:00
36,Mari kita pergi makan malam bersama.,Let us go have dinner together.,2026-07-21 00:00:00
37,Telepon seluler saya kehabisan baterai.,My mobile phone has run out of battery.,2026-07-21 00:00:00
38,Saya ingin menyewa sepeda untuk keliling.,I want to rent a bicycle to go around.,2026-07-21 00:00:00
39,Harga barang-barang di pasar sangat murah.,The price of goods in the market is very cheap.,2026-07-21 00:00:00
40,Saya harus pergi sekarang juga.,I have to go right now.,2026-07-21 00:00:00
41,Pemrosesan bahasa alami adalah bidang yang menarik.,Natural language processing is an exciting field.,2026-07-21 00:00:00
42,Model transformer mengubah dunia teknologi informasi.,Transformer models are changing the world of information technology.,2026-07-21 00:00:00
43,Mari kita lakukan analisis data hari ini.,Let us do data analysis today.,2026-07-21 00:00:00
44,Bahasa adalah alat komunikasi paling penting.,Language is the most important communication tool.,2026-07-21 00:00:00
45,Kecerdasan buatan berkembang sangat cepat.,Artificial intelligence is developing very fast.,2026-07-21 00:00:00
46,Jaringan saraf tiruan meniru otak manusia.,Artificial neural networks mimic the human brain.,2026-07-21 00:00:00
47,Pembelajaran mendalam membutuhkan banyak data.,Deep learning requires a lot of data.,2026-07-21 00:00:00
48,Pembelajaran mesin membantu memprediksi tren.,Machine learning helps predict trends.,2026-07-21 00:00:00
49,Algoritma ini sangat efisien dalam komputasi.,This algorithm is very efficient in computation.,2026-07-21 00:00:00
50,Kami menggunakan pustaka pandas untuk manipulasi data.,We use the pandas library for data manipulation.,2026-07-21 00:00:00
51,Numpy menyediakan operasi matriks yang cepat.,Numpy provides fast matrix operations.,2026-07-21 00:00:00
52,Sacrebleu digunakan untuk mengevaluasi metrik terjemahan.,Sacrebleu is used to evaluate translation metrics.,2026-07-21 00:00:00
53,Metrik rouge mengukur tumpang tindih n-gram.,The rouge metric measures n-gram overlap.,2026-07-21 00:00:00
54,Meteor mengevaluasi keselarasan kata secara dinamis.,Meteor evaluates word alignment dynamically.,2026-07-21 00:00:00
55,Data latih harus dibersihkan terlebih dahulu.,The training data must be cleaned first.,2026-07-21 00:00:00
56,Tokenisasi memecah teks menjadi unit kecil.,Tokenization breaks text into small units.,2026-07-21 00:00:00
57,Penerjemahan mesin membantu menghubungkan banyak orang.,Machine translation helps connect many people.,2026-07-21 00:00:00
58,Korpus paralel berisi teks dua bahasa.,A parallel corpus contains texts of two languages.,2026-07-21 00:00:00
59,Evaluasi otomatis menghemat waktu dan biaya.,Automatic evaluation saves time and cost.,2026-07-21 00:00:00
60,Kami memproses kumpulan data sebelum melatih model.,We process the dataset before training the model.,2026-07-21 00:00:00
61,Setiap kalimat harus memiliki pasangan terjemahan.,Each sentence must have a translation pair.,2026-07-21 00:00:00
62,Akurasi terjemahan sangat tergantung kualitas data.,Translation accuracy highly depends on data quality.,2026-07-21 00:00:00
63,Representasi vektor menyimpan makna kata.,Vector representation stores word meaning.,2026-07-21 00:00:00
64,Perhatian mandiri adalah kunci arsitektur transformer.,Self-attention is the key of the transformer architecture.,2026-07-21 00:00:00
65,Gunakan pustaka huggingface untuk memuat model.,Use the huggingface library to load the model.,2026-07-21 00:00:00
66,Token khusus digunakan untuk menandai awal kalimat.,Special tokens are used to mark the start of a sentence.,2026-07-21 00:00:00
67,Model marianmt sangat cocok untuk penerjemahan.,The marianmt model is very suitable for translation.,2026-07-21 00:00:00
68,Kami membagi data menjadi latih dan uji.,We split the data into train and test.,2026-07-21 00:00:00
69,Fungsi kerugian dioptimalkan menggunakan adam.,The loss function is optimized using adam.,2026-07-21 00:00:00
70,Kecepatan inferensi dapat ditingkatkan dengan gpu.,Inference speed can be increased with a GPU.,2026-07-21 00:00:00
71,Model pra-terlatih sangat menghemat sumber daya.,Pre-trained models highly save resources.,2026-07-21 00:00:00
72,Penerjemahan berbasis aturan memiliki banyak batasan.,Rule-based translation has many limitations.,2026-07-21 00:00:00
73,Analisis sentimen mendeteksi emosi dalam teks.,Sentiment analysis detects emotions in text.,2026-07-21 00:00:00
74,Ekstraksi entitas mengenali nama orang dan lokasi.,Entity extraction recognizes names of people and locations.,2026-07-21 00:00:00
75,Ringkasan teks otomatis menghasilkan poin penting.,Automatic text summarization generates key points.,2026-07-21 00:00:00
76,Klasifikasi teks membagi dokumen ke dalam kategori.,Text classification divides documents into categories.,2026-07-21 00:00:00
77,Model bahasa generatif dapat menulis cerita.,Generative language models can write stories.,2026-07-21 00:00:00
78,Penyetelan halus menyesuaikan model ke tugas spesifik.,Fine-tuning adapts the model to a specific task.,2026-07-21 00:00:00
79,Bias dalam data harus diidentifikasi dan dikurangi.,Bias in data must be identified and mitigated.,2026-07-21 00:00:00
80,Etika kecerdasan buatan adalah topik penting.,Ethics of artificial intelligence is an important topic.,2026-07-21 00:00:00
81,Rapat hari ini dimulai pukul sembilan pagi.,Today's meeting starts at nine in the morning.,2026-07-21 00:00:00
82,Laporan keuangan harus diserahkan akhir bulan.,The financial report must be submitted at the end of the month.,2026-07-21 00:00:00
83,Saya bekerja sebagai pengembang perangkat lunak.,I work as a software developer.,2026-07-21 00:00:00
84,Kantor kami menerapkan sistem kerja fleksibel.,Our office implements a flexible working system.,2026-07-21 00:00:00
85,Kami membutuhkan proposal proyek minggu depan.,We need the project proposal next week.,2026-07-21 00:00:00
86,Evaluasi kinerja dilakukan setiap enam bulan.,Performance evaluation is conducted every six months.,2026-07-21 00:00:00
87,Kerja sama tim sangat penting untuk sukses.,Teamwork is very important for success.,2026-07-21 00:00:00
88,Tolong kirimkan berkas ini melalui surat elektronik.,Please send this file via email.,2026-07-21 00:00:00
89,Saya sedang menghadiri konferensi teknologi.,I am attending a technology conference.,2026-07-21 00:00:00
90,Silakan tanda tangani dokumen kontrak kerja.,Please sign the employment contract document.,2026-07-21 00:00:00
91,Batas waktu pengumpulan tugas adalah besok sore.,The deadline for task submission is tomorrow afternoon.,2026-07-21 00:00:00
92,Kami harus memotong anggaran biaya operasional.,We have to cut operational budget costs.,2026-07-21 00:00:00
93,Peluncuran produk baru ditunda bulan depan.,The launch of the new product is postponed to next month.,2026-07-21 00:00:00
94,Manajer pemasaran sedang mempresentasikan strategi.,The marketing manager is presenting the strategy.,2026-07-21 00:00:00
95,Silakan hubungi bagian layanan pelanggan.,Please contact customer service.,2026-07-21 00:00:00
96,Kami berkomitmen memberikan kualitas terbaik.,We are committed to providing the best quality.,2026-07-21 00:00:00
97,Keamanan data adalah prioritas utama perusahaan.,Data security is the company's top priority.,2026-07-21 00:00:00
98,Sesi pelatihan karyawan diadakan hari kamis.,The employee training session is held on Thursday.,2026-07-21 00:00:00
99,Surat penawaran harga telah dikirim ke klien.,The price quotation letter has been sent to the client.,2026-07-21 00:00:00
100,Proyek ini membutuhkan analisis kebutuhan detail.,This project requires a detailed requirements analysis.,2026-07-21 00:00:00
101,Kami merencanakan perjalanan liburan ke Bali.,We are planning a holiday trip to Bali.,2026-07-21 00:00:00
102,Tiket pesawat sudah dipesan jauh hari.,The plane tickets have been booked long in advance.,2026-07-21 00:00:00
103,Candi Borobudur adalah tujuan wisata populer.,Borobudur Temple is a popular tourist destination.,2026-07-21 00:00:00
104,Saya ingin mengunjungi museum sejarah besok.,I want to visit the history museum tomorrow.,2026-07-21 00:00:00
105,Pantai di Lombok sangat bersih dan indah.,The beach in Lombok is very clean and beautiful.,2026-07-21 00:00:00
106,Di mana tempat menyewa mobil yang murah?,Where is a cheap car rental place?,2026-07-21 00:00:00
107,Wisatawan asing harus membawa paspor mereka.,Foreign tourists must carry their passports.,2026-07-21 00:00:00
108,Makanan tradisional Indonesia sangat kaya rempah.,Traditional Indonesian food is very rich in spices.,2026-07-21 00:00:00
109,Saya ingin memesan tur berpemandu untuk kota ini.,I want to book a guided tour for this city.,2026-07-21 00:00:00
110,Berapa lama perjalanan dari sini ke bandara?,How long is the trip from here to the airport?,2026-07-21 00:00:00
111,Peta digital sangat membantu saat bepergian.,Digital maps are very helpful when traveling.,2026-07-21 00:00:00
112,Kami menginap di penginapan dekat pantai.,We stayed at a guesthouse near the beach.,2026-07-21 00:00:00
113,Cuaca tropis sangat hangat sepanjang tahun.,The tropical weather is very warm all year round.,2026-07-21 00:00:00
